Info,Date,Home,Away,FTHG,FTAG,Home Ball Possession,Home Goal Attempts,Home Shots on Goal,Home Shots off Goal,Home Blocked Shots,Home Corner Kicks,Home Offsides,Home Goalkeeper Saves,Home Fouls,Home Red Cards,Home Yellow Cards,Home Total Passes,Home Tackles,Home Attacks,Home Dangerous Attacks,Away Ball Possession,Away Goal Attempts,Away Shots on Goal,Away Shots off Goal,Away Blocked Shots,Away Corner Kicks,Away Offsides,Away Goalkeeper Saves,Away Fouls,Away Red Cards,Away Yellow Cards,Away Total Passes,Away Tackles,Away Attacks,Away Dangerous Attacks
Championship - Round 2,19.09.2020 09:00,Norwich,Preston,2,2,49%,2,2,0,0,3,0,1,4,,0,203,6,36,18,51%,5,3,2,0,2,1,1,8,,1,211,8,77,27
Championship - Round 2,19.09.2020 09:00,Reading,Barnsley,2,0,53%,0,0,0,0,1,1,1,3,0,0,229,6,49,10,47%,7,1,3,3,4,0,0,12,1,2,191,8,60,25
Championship - Round 2,19.09.2020 09:00,Rotherham,Millwall,0,1,47%,6,0,3,3,4,0,1,8,,1,179,5,68,32,53%,4,1,1,2,2,0,0,6,,0,211,2,61,17
Championship - Round 2,19.09.2020 09:00,Sheffield Wed,Watford,0,0,52%,6,1,5,0,2,1,1,6,,,211,12,74,22,48%,1,1,0,0,1,1,1,11,,,196,9,37,11
Championship - Round 2,19.09.2020 09:00,Swansea,Birmingham,0,0,64%,2,2,0,0,2,1,1,6,,0,266,4,46,21,36%,6,1,1,4,4,1,2,8,,1,139,8,46,24
Championship - Round 2,19.09.2020 06:30,Nottingham,Cardiff,0,2,48%,2,0,2,0,0,0,2,5,,,204,12,51,12,52%,8,4,1,3,2,2,0,7,,,223,8,67,22
Championship - Round 1,12.09.2020 09:00,Barnsley,Luton,0,1,47%,6,1,4,1,4,1,0,8,,1,173,8,48,18,53%,2,0,2,0,4,1,1,3,,1,194,5,64,29
Championship - Round 1,12.09.2020 09:00,Bournemouth,Blackburn,3,2,50%,5,1,3,1,2,0,0,4,,,204,6,39,17,50%,7,1,2,4,1,0,0,12,,,197,13,68,23
Championship - Round 1,12.09.2020 09:00,Bristol City,Coventry,2,1,40%,4,2,1,1,0,1,2,4,,1,179,3,46,5,60%,12,3,4,5,3,1,1,5,,1,267,3,70,28
Championship - Round 1,12.09.2020 09:00,Cardiff,Sheffield Wed,0,2,71%,5,1,3,1,3,0,1,5,,,249,3,78,19,29%,5,3,0,2,3,0,1,9,,,93,9,28,12
Championship - Round 1,12.09.2020 09:00,Derby,Reading,0,2,50%,4,0,2,2,3,0,1,9,,2,270,7,45,13,50%,4,3,1,0,1,2,0,3,,0,274,13,62,18
Championship - Round 1,12.09.2020 09:00,Huddersfield,Norwich,0,1,49%,3,0,2,1,2,0,1,10,,,193,2,43,18,51%,7,1,2,4,4,0,0,9,,,193,9,51,16
Championship - Round 1,12.09.2020 09:00,Millwall,Stoke,0,0,42%,2,1,1,0,1,0,2,7,,1,155,2,49,13,58%,9,2,3,4,7,0,1,4,,0,209,8,65,23
Championship - Round 1,12.09.2020 09:00,Preston,Swansea,0,1,50%,3,1,0,2,0,2,0,7,,,220,2,70,24,50%,3,0,1,2,3,3,1,5,,,209,6,54,25
Championship - Round 1,12.09.2020 09:00,QPR,Nottingham,2,0,54%,2,0,1,1,2,2,0,5,,,219,8,45,28,46%,1,0,1,0,1,2,0,3,,,178,7,67,18
Championship - Round 1,12.09.2020 06:30,Birmingham,Brentford,1,0,46%,9,2,3,4,3,2,2,9,,,197,14,54,24,54%,7,2,2,3,0,0,1,5,,,229,7,47,20
Championship - Round 1,12.09.2020 06:30,Wycombe,Rotherham,0,1,44%,7,3,3,1,2,3,1,9,,1,87,2,32,14,56%,5,1,3,1,2,0,3,12,,0,108,6,41,23
Championship - Round 17,09.12.2020 13:45,Brentford,Derby,0,0,55%,4,0,3,1,4,1,0,6,,0,238,4,51,32,45%,0,0,0,0,0,2,0,4,,1,213,6,69,20
