Info,Date,Home,Away,FTHG,FTAG,Home Ball Possession,Home Goal Attempts,Home Shots on Goal,Home Shots off Goal,Home Blocked Shots,Home Corner Kicks,Home Offsides,Home Goalkeeper Saves,Home Fouls,Home Yellow Cards,Home Total Passes,Home Tackles,Home Attacks,Home Dangerous Attacks,Away Ball Possession,Away Goal Attempts,Away Shots on Goal,Away Shots off Goal,Away Blocked Shots,Away Corner Kicks,Away Offsides,Away Goalkeeper Saves,Away Fouls,Away Yellow Cards,Away Total Passes,Away Tackles,Away Attacks,Away Dangerous Attacks,Away Red Cards,Home Red Cards
Championship - Round 2,19.09.2020 09:00,Reading,Barnsley,2,0,63%,6,5,0,1,5,3,1,8,1,303,6,67,16,37%,2,1,0,1,1,0,3,8,2,185,17,35,7,1,0
Championship - Round 2,19.09.2020 09:00,Rotherham,Millwall,0,1,55%,7,1,1,5,4,0,0,6,0,205,8,65,39,45%,4,1,3,0,1,3,1,5,2,168,9,53,24,,
Championship - Round 2,19.09.2020 09:00,Sheffield Wed,Watford,0,0,48%,2,0,2,0,0,1,2,11,,144,9,62,23,52%,5,2,2,1,7,2,0,11,,154,9,35,35,,
Championship - Round 2,19.09.2020 09:00,Swansea,Birmingham,0,0,60%,6,3,1,2,3,0,2,4,,262,4,62,23,40%,4,2,0,2,4,0,3,5,,181,3,53,27,,
Championship - Round 2,19.09.2020 06:30,Nottingham,Cardiff,0,2,66%,11,3,6,2,9,0,0,3,,235,11,66,57,34%,1,0,0,1,0,1,3,5,,122,12,45,5,,
Championship - Round 1,12.09.2020 09:00,Barnsley,Luton,0,1,59%,4,0,2,2,1,1,0,6,0,217,10,53,20,41%,1,1,0,0,2,2,0,7,2,150,1,57,35,,
Championship - Round 1,12.09.2020 09:00,Bournemouth,Blackburn,3,2,48%,7,4,2,1,3,0,0,8,2,196,15,56,19,52%,8,1,6,1,1,2,2,4,0,206,14,66,35,,
Championship - Round 1,12.09.2020 09:00,Bristol City,Coventry,2,1,52%,7,4,1,2,5,3,1,6,1,222,11,58,39,48%,4,1,2,1,4,1,3,7,0,188,14,42,22,,
Championship - Round 1,12.09.2020 09:00,Cardiff,Sheffield Wed,0,2,53%,2,1,1,0,1,0,1,5,0,179,8,54,17,47%,3,1,2,0,3,2,1,10,1,165,4,48,31,,
Championship - Round 1,12.09.2020 09:00,Derby,Reading,0,2,66%,5,2,1,2,3,0,0,6,1,323,11,76,22,34%,4,0,1,3,1,2,2,4,2,169,5,43,19,,
Championship - Round 1,12.09.2020 09:00,Huddersfield,Norwich,0,1,47%,4,1,2,1,1,2,3,9,1,149,8,44,20,53%,9,4,4,1,3,1,1,6,3,170,6,48,34,,
Championship - Round 1,12.09.2020 09:00,Millwall,Stoke,0,0,50%,7,0,2,5,1,1,2,8,0,195,3,69,31,50%,4,2,2,0,1,0,0,9,1,210,8,62,20,,
Championship - Round 1,12.09.2020 09:00,Preston,Swansea,0,1,70%,7,3,1,3,2,0,0,9,,287,7,75,30,30%,3,1,2,0,0,2,3,6,,134,3,46,13,,
Championship - Round 1,12.09.2020 09:00,QPR,Nottingham,2,0,44%,7,3,3,1,2,0,0,8,1,134,8,44,24,56%,5,0,4,1,1,1,1,8,2,183,11,42,24,,
Championship - Round 1,12.09.2020 06:30,Birmingham,Brentford,1,0,28%,2,1,1,0,3,2,2,7,4,126,8,50,19,72%,9,2,3,4,3,0,1,6,1,325,6,83,27,,
Championship - Round 1,12.09.2020 06:30,Wycombe,Rotherham,0,1,48%,3,1,1,1,1,2,0,3,0,133,7,54,11,52%,7,1,1,5,2,2,1,7,1,142,7,67,34,,
Championship - Round 17,09.12.2020 13:45,Brentford,Derby,0,0,63%,8,0,4,4,6,1,0,7,2,224,5,40,22,37%,5,0,3,2,2,2,0,4,0,121,5,47,21,,
